﻿name,lyric
I'm In Love,kurokuro天天/Glay[羅馬拼音]chiisa na pokke ni gyutto tsumateitakusa no nioi no takaramomotachi wa kakurembohodoketa kutsuhimo musunde kureta kimi o nosemanatsu no takasugiru kumo ni mukatte shouryokou(FROM) LONELY DAYS WE CAN FLYmabuta no ura ni wa ano hi no bokura(FROM) LONELY NIGHTS WE CAN FLYitsu demo nani ka ni kizutsuiteta neI'm just in love I'm just in loveI'm just in love oh Singin' my lifefuruita arubamu hiraita boku wawakakatta futari to ima ja toshi mo sou kawaranaiShouwa to iu no jidai ni bokura o kakaete hashittasonna anata no ikigai ga shimite nakitaku naru(FROM) LONELY DAYS WE CAN FLYyutaka na hibi ni natsukashiku omou(FROM) LONELY NIGHTS WE CAN FLYOK! THANK YOU FOR YOUR LOVEI'm just in love I'm just in loveI'm just in love oh Singin' my lifeWE WILL ROCK YOU WORDS FROM HEAVEN!(I'M IN LOVE)[中譯]小小的口袋裏塞得滿滿地與視為寶物的青草香　玩著捉迷藏解開鞋帶　讓你和我一塊兒搭乘朝著盛夏的雲端來趟小旅行(FROM) LONELY DAYS WE CAN FLY記憶深處　那一天的我們(FROM) LONELY NIGHTS WE CAN FLY無論何時、任何原因而受了傷I'm just in love. I'm just in love.I'm just in love. Oh singin my life泛黃的相本中　被翻開的我以及曾經年輕過的雙親　並未隨著歲月而改變在「昭和」時代裏　時光帶著我們奔馳那時候的妳生存的意義則是　盡情的放聲大哭(FROM) LONELY DAYS WE CAN FLY懷念著　多彩多姿的日子(FROM) LONELY NIGHTS WE CAN FLYOK! THANK YOU FOR YOUR LOVEI'm just in love. I'm just in love.I'm just in love. Oh singin my lifeWE WILL ROCK YOU WORDS FROM HEAVEN!
MADE IN HEAVEN,戰戰兢兢 一次一次的扮演踏上旅途 執著的心不後悔不斷練習 長久以來的準備將要在今晚展現我的靈魂 飛馳在那音樂間緊緊鎖住 你的耳朵你的眼情歌民謠 古典對上搖滾樂讓我的心如此靠近天邊 在今夜~Made in heaven … 拍紅你的手Made in heaven … 沸騰你的血Made in heaven … 天堂的音樂Made in heaven … 喔 ~把握年輕 好好發揮表現我不要等年老空想念暫時忘記 明天所要面對的世界讓我沈浸在我的音樂 感謝 台中五迷-品睿  提供歌詞
OAOA,我相信苦澀的眼淚我不信甜美的誓言我相信音樂就該音樂我相信愛情的純粹我不信華麗的詩篇我相信熱烈的爭辯我不信無聲的和諧我相信秒秒的瞬間我不信年年的永遠我相信搖滾就能萬歲快張開你的嘴OA OA再不管你是誰OA OA人生都太短暫別想別怕別後退現在就是永遠出生的那一年OA OA轉眼就這一天OA OA人生都太短暫去瘋去愛去浪費和我再唱OA OA OA我相信苦澀的眼淚我不信甜美的誓言我相信音樂就該音樂我相信愛情的純粹我不信華麗的詩篇我相信熱烈的爭辯我不信無聲的和諧我相信秒秒的瞬間我不信年年的永遠我相信搖滾就能萬歲 在   快張開你的嘴OA OA再不管你是誰OA OA人生都太短暫別想別怕別後退現在就是永遠出生的那一年OA OA轉眼就這一天 OA OA人生都太短暫去瘋去愛去浪費和我再唱OA OA OA我相信秒秒的瞬間我不信年年的永遠我相信搖滾就能萬歲快張開你的嘴 OA OA再不管你是誰 OA OA人生都太短暫別想別怕別後退現在就是永遠出生的那一年OA OA轉眼就這一天OA OA人生都太短暫去瘋去愛去浪費和我再唱OA OA OAOA OA OA OAOA OA OA OAOA OA OA OAOA OA OA OAOA OA
ノアの方舟,hin(Mayday)sa(Mayday)再見 草莓甜甜圈 街角咖啡店 落下雨點再見 黑白老照片 回憶電影院 埋進地面再見 我們初識的那個公園那天是誰先吻了誰 被誰遺忘的鞦韆再見 那麼多名車名表名鞋最後我們只能帶走 名為回憶的花園如果要告別 如果今夜就要和一切告別如果你只能打一通電話 你會撥給誰晚安 鸚鵡和孔雀 花豹和人類 望著海面晚安 底片和唱片 沉浮在浪間 就像詩篇晚安 自由女神漂到華爾街我們在甲板上摸到杜拜塔頂的塔尖晚安 海豚躍出西藏的屋簷原來幻想中的這天會比幻想更唯美還是要告別 還是放棄海拔以下的世界你會裝進什麼回憶紀念 在行李裡面 在   終於要告別 終於沒有更多的明天要追你有什麼遺憾依然殘缺 還沒有完美當彗星燃燒天邊 隕石像雨點當輻射比陽光還要熾烈讓愛變得濃烈 當每段命運 更加壯烈當永遠變成一種遙遠當句點變成一種觀點讓人類終於變成同類勇敢地告別 勇敢地向過去和未來告別告別每段血緣身份地位 聰明或愚昧最後的告別 最後一個心願是學會高飛飛在不存在的高山草原 星空和藍天讓 諾亞方舟 航向了 海平線讓 諾亞方舟 航向了 換日線讓 諾亞方舟 航向了 天際線讓 諾亞方舟 航向了 無限
一千個世紀,當時地球還年輕 我們誕生荒涼大海裡演化到了寒武紀 我們長出脊椎和勇氣某天我們開始踩出腳印 學會雙手擁抱學會愛情長出人類的心啊哈 我要和你一起走過一千個世紀每次誕生 我都要與你相遇每次輪迴 都為你當時你我都野性 我們學會用火跟穴居後來帝國正崛起 我們戰亂之中更相依 在   某天我們突然回憶過去 我們只是兩段平凡基因卻愛的很美麗啊哈 我要和你一起走過一千個世紀每次誕生 我都要與你相遇(下一個我也許是人或螞蟻)每次輪迴 都是為你啊哈 我要和你一起活過一千個世紀每次誕生 都只有一個意義就是和你在一起直到文明又毀滅 一千世紀後的第一天伊甸園裡肩並肩 我們笑看太陽也熄滅
一半人生,電影 飛馳人生 主題曲哲在某個清晨回望我一生活得雖認真卻微小如塵想要唱首歌去唱哭別人最後卻是我滿臉淚痕早告別青春活成了別人經歷的時代已如此陌生年少時的話 在   又不敢承認低頭在人海浮浮沉沉我的一半人生 飄蕩就像只風箏如果命運是風 什麼又是我的繩我的一半人生 冷暖就讓我自己過問有熱愛有恨 有未知的前程----------------------------------------------- - 一半人生電影 飛馳人生 主題曲
一顆蘋果,天經過了漫長的等候　夢想是夢想　我還是一個我那時間忘記挽留　最美時候　不經意匆匆的放過曾經想擁抱的彩虹　盛開的花朵　那純真的笑容突然有風吹過　那一轉眼　只剩我我不懂　人世間的那些愁　他為什麼要纏著我到底這會是誰的錯　還是我不放手喔　人世間的那些愁　這世界給我的幽默這是不是要告訴我　潮起終究潮落總要有人來陪我　嚥下苦果喔　再嚐一點美夢　要等你先開口　那冬天才會走有些人經過我身旁　住在我腦中　在我心裡鑽洞 在   有些人變成相片　堆在角落　灰塵像雪一般冰凍時間如果可以倒流　我想我還是會卯起來蹉跎　反正就這樣吧我知道我　努力過　我想到　遙遠遙遠的以後會不會有人知道我　在這個寂寞的星球　曾這樣的活過喔　遙遠遙遠的以後　天長和地久的盡頭應該沒有人能搶走　我永遠的感動總要有一首我的歌　大聲唱過喔　再看天地遼闊　活著不多不少　幸福剛好夠用活著其實很好　再吃一顆蘋果
三個傻瓜,天+吳智暉小小的個子 看著看著 看到張開嘴 那是第一個傻瓜小小的心願 想著想著 想要快上學 可不可以啊媽媽一定有很多 老師同學 新書包書本 還有第一條手帕沒想到將會 用盡所有 精華的年華 但有誰能脫隊嗎長大不是玩耍 不是畫畫 不能夠玩沙長大是學文法 是學書法 加法和減法分不清 他傻瓜 你傻瓜 我傻瓜 誰傻瓜 傻不傻瓜 時間 一樣追殺傻瓜啊 一轉眼 就老花 一轉眼 就白髮 一轉歲月 場景 也都變化傻瓜 只能 向前 走啊不能談戀愛 這麼這麼 認真就是他 登場第二個傻瓜大人告訴他 別怕別怕 愛情和青春 會在未來等著他所以他丟了 詩和天真 寒假和暑假 籃球漫畫和吉他他終於哭了 就在那天 回憶缺席了 最後一次鳳凰花世界如果平的 為何人們 都要往上爬活著不是贏家 就是輸家 你敢輸掉嗎分不清 他傻瓜 你傻瓜 我傻瓜 誰傻瓜 傻不傻瓜 時間 一樣追殺傻瓜啊 一轉眼 就老花 一轉眼 就白髮 一轉歲月 場景 也都變化 在   傻瓜 還在 繼續 掙扎什麼公式可以 讓我找到 殘缺的解答什麼句型可以 讓我說出 悲傷的文法十九年後換來 五張證書 和半片天涯終於發現我是 第一第二 第三個傻瓜這故事 熟悉嗎 走過嗎 無奈嗎 心痛嗎 傻不傻瓜 代價 一樣無價到最後 一轉眼 就老花 一轉眼 就白髮 一轉歲月 眼淚 也都爆炸只剩 三個 悲傷傻瓜只好 音量 加大(Take off,Come on!)和聲+八三夭 阿璞LOOP Program：怪獸+阿信SAX：吳智暉TRUMPET：鄭文鳳TROMBONE：湯馬士[ti:]三個傻瓜[ar:][al:]第二人生[by:]路人川
不見不散,＃不見不散　誰跟誰相約哪個臂彎　不見不散　明知道靈魂他沒有港灣　不見不散　這期盼終於長出枝蔓　攀附著天生的貪婪　直到愛變成了一場災難＊我切切的切切在盼　　一顆心滾滾的滾滾在翻　等到夜沉沉的沉沉在散　期待卻不肯由濃烈轉淡　我切切的切切在盼　　一顆心滾滾的滾滾在翻 在   　等到天狠狠的狠狠在白　撕裂著最後的溫暖期盼不見不散　一整夜沉默的紅地磚不見不散　諾言在空氣中一直瀰漫不見不散　終於讓所有忍耐造反蛻變成世故的小孩　在傾聽誰的孤單在狂歡Repeat ＃,＊
九號球,天逃走　翻過圍牆　我只能逃走　從教室裡頭奔向自由　熟悉角落　有人在等我　有挑釁的笑容今天誰先開球　讓誰嚐點苦頭綠色地平線上　我撞著　彩色墮落也許我這一桿　又沒辦法進球就像我的生活　一直在出差錯也許我這一生　始終在追逐那顆九號球卻忘了　是誰在愛我卻忘了　是誰在罩著我從前　書包很滿　裝不下的夢　就丟了一些未來我們　要怎麼活　凝視著白球　暫時我不去想天空漸漸變紅　影子爬滿球桌輸贏沒有結果　像人生　難以捉摸 在   也許我這一桿　又沒辦法進球就像我的生活　一直在出差錯也許我這一生　始終在追逐那顆九號球卻忘了　是誰在愛我卻忘了　是誰在罩著我也許我這一桿　又沒辦法進球就像我的生活　一直在出差錯也許我這一生　始終在追逐那顆九號球卻忘了　是誰在愛我也許我這一桿　又沒辦法進球就像我的生活　一直在出差錯也許我這一生　始終在追逐那顆九號球卻忘了　是誰在愛我卻忘了　是誰在罩著我
乾啦乾啦 Cheers！, 台北小巨蛋 D2拎啊拎啊拎 拎啊拎啊拎拎啊拎啊拎 拎啊拎啊拎拎啊拎啊拎 拎啊拎啊拎拎啊拎啊拎啊拎一起 乾啦 乾啦 乾杯啦沒有 鏘掉 鏘掉 不回家拚命 躲酒的 最窩囊勸酒的人 最奇葩杯子 滿了 幸福 圓滿啦杯底 乾了 眼淚 也乾啦兄弟 還煩惱 什麼啊反正有 我罩你呀呼乾啦 呼乾啦 哪來那麼多 廢話呼乾啦 呼乾啦 乾了這杯 再說吧開心 就應該 喝掛傷心 更不該 牽掛再掛 也不怕 尷尬乾啦 乾啦從前 哭著 哭著 就笑啦現在 笑著 笑著 卻哭啦快樂 變得那麼 複雜原來這 就叫長大 在   那年 我們 背起了吉他想做 我們 想做的人啊沒被 看不起 當笑話怎麼配 叫做夢想叫做夢想呼搭啦 呼搭啦 哪來那麼多廢話呼搭啦 呼搭啦 乾了這杯再說吧開心就應該喝掛 傷心更不該牽掛再掛也不怕尷尬乾啦乾啦呼乾啦 呼乾啦 啦啦啦啦啦啦啦呼乾啦 呼乾啦 啦啦啦啦啦啦啦呼乾啦 呼乾啦 啦啦啦啦啦啦啦呼乾啦 呼乾啦 啦啦啦啦啦啦啦呼乾啦 呼乾啦 哪來那麼多 廢話呼乾啦 呼乾啦 乾了這杯 再說吧開心 就應該 喝掛傷心 更不該 牽掛再掛 也不怕 尷尬乾啦 乾啦拎啊拎啊拎 拎啊拎啊拎拎啊拎啊拎 拎啊拎啊拎拎啊拎啊拎 拎啊拎啊拎拎啊拎啊拎啊拎
乾杯,天+于京延會不會 有一天 時間真的能倒退退回 你的我的 回不去的 悠悠的歲月也許會 有一天 世界真的有終點也要和你舉起回憶釀的甜 和你再乾一杯如果說 要我選出 代表青春 那個畫面浮現了 那滴眼淚 那片藍天 那年畢業那一張 邊哭邊笑 還要擁抱 是你的臉想起來 可愛可憐 可歌可泣 可是多懷念懷念總是 突然懷念 不談條件當回憶 衝破考卷 衝出歲月 在我眼前我和你 流著汗水 喝著汽水 在操場邊說好了 無論如何 一起走到 未來的世界現在就是 那個未來 那個世界為什麼 你的身邊 我的身邊 不是同一邊友情曾像 諾亞方舟 堅強誓言只是我 望著海面 等著永遠 模糊了視線會不會 有一天 時間真的能倒退退回 你的我的 回不去的 悠悠的歲月也許會 有一天 世界真的有終點也要和你舉起回憶釀的甜 和你再乾一杯這些年 買了四輪 買了手錶 買了單眼卻發現 追不到的 停不了的 還是那些人生是 只有認命 只能宿命 只好宿醉只剩下 高的笑點 低的哭點 卻沒成熟點成熟就是 幻想幻滅 一場磨練為什麼 只有夢想 越磨越小 小到不見有時候 好想流淚 好想流淚 卻沒眼淚期待會 你會不會 他會不會 開個同學會 在   他在等你 你在等我 我在等誰又是誰 孩子沒睡 電話沒電 心情沒準備天空不斷 黑了又亮 亮了又黑那光陰 滄海桑田 遠走高飛 再沒力氣追會不會 有一天 時間真的能倒退退回 你的我的 回不去的 悠悠的歲月也許會 有一天 世界真的有終點也要和你舉起回憶釀的甜 和你再乾一杯會不會 有一天 時間真的能倒退退回 你的我的 回不去的 悠悠的歲月也許會 有一天 世界真的有終點也要和你舉起回憶釀的甜 和你再乾一杯終究會 有一天 我們都變成昨天是你 陪我走過 一生一回 匆匆的人間有一天 就是今天 今天就是有一天說出一直沒說 對你的感謝 和你再乾一杯再乾一杯永遠 喝了就能萬歲 歲歲和年年時間都停了 他們都回來了懷念的人啊 等你的來到時間都停了 他們都回來了懷念的人啊 等你的來到弦樂編寫：于京延+李琪弦樂演奏：李琪北京室內樂團沖繩三弦：REI(Spoon de chop)和聲+阿璞(八三夭)合唱：強辯+阿邦+小凱+阿沚[ti:]乾杯[ar:][al:]第二人生[by:]路人川
亂世浮生,亂世浮生 這是你給活著的評語輕蔑的笑 說盡了你的神氣風吹過來 吹起了你白色的衣領也吹走了 我的悲觀的相信經過了誰和誰相遇又誰和誰分離最後把自己交給了命運命運像失控的馬戲小丑開始哭泣大象猴子跑進城裡因為有你 因為有你變換整個場景 在   那憂鬱 好像可有可無的道具因為有你 緊抓著你像坐上紙飛機漂浮吧 飛過混亂世界的邏輯沒有原因 為什麼一定要有原因有人到了 七十歲還問原因亂世浮生 這是你笑著說的唇語就算一秒 也要快樂的決心漂浮吧 飛過混亂世界昨天的 煩惱就丟在上個世紀
人生有限公司,你用哭聲打卡 產房裡的娃娃 眾人祝福 你還記得嗎？當時一絲不掛 如今一分不差 成天會議 成堆資料夾第一個部門 主管叫做爸媽 你只要乖乖聽話第二個部門 專門改造傻瓜 會唸書 會考試 的那種傻瓜「你曾掙扎過嗎 你曾反抗過嗎？」如何使用生命 就叫「使命」是嗎？人生有限選擇 誰在規劃？追逐富貴榮華 目標飛黃騰達你準備好了嗎 現在必須出發人生有限公司 沒有一天能請假人在哪裡跌倒 就在哪趴一下 面對挫折也都專業化讓生涯最佳化 而夢想最小化 生存機率追求最大化第三個部門 負責財務計畫 要你和現實打架第四個部門 任務更加複雜 去尋覓 去戀愛 去找她或他「你曾深愛過嗎 你曾放縱過嗎？」愛成一句傻話 活成一句廢話 在   人生有限日子 揮霍一下公司漸漸變化 組織慢慢擴大有時無法招架 有點騎虎難下人生有限公司 還加班還沒回家「你曾停下過嗎 你曾懷疑過嗎？」就算你有想法 你也沒有辦法人生無限問題 沒有解答追逐富貴榮華 目標飛黃騰達其實平安到達 就是一種偉大人生無限可能 誰能出價？人生像打電話 總要有人先掛 來時嗚嗚哇哇 走要嘻嘻哈哈人生有限的話 你想要怎樣喧嘩？人生有限公司 沒有一天能請假[ti:人生有限公司][ar:][al:自傳][by:GetNoTogether]
人生海海,中視「一休和尚」片頭曲天有一天　我在想　我到底　算是個什麼東西還是我　會不會　根本就不算東西天天都漫無目的　偏偏又想要證明　真理別人從屁股放屁　我卻每天每天的說要革命就算是整個世界　把我拋棄　而至少快樂傷心我自己決定所以我說　就讓它去　我知道潮落之後一定有潮起　有什麼了不起常常我　豁出去　拼了命　走過卻沒有痕跡可是我　從不怕　挖出我火熱的心手上有一個硬幣　反面就決定放棄　嗝屁但是啊在我心底　卻完完全全不想放棄就算是整個世界　把我拋棄　而至少快樂傷心我自己決定 在   所以我說　就讓它去　我知道潮落之後一定有潮起　有什麼了不起常常我　閉上眼睛　聽到了海的呼吸　是你溫柔的藍色潮汐　告訴我沒有關係就算真的整個世界　把我拋棄　而至少快樂傷心我自己決定所以我說　就讓它去　我知道潮落之後一定有潮起　我不能忘記無論是我的明天　要去哪裡　而至少快樂傷心我自己決定所以我說　就讓他去　我知道潮落之後一定有潮起有什麼了不起有什麼了不起啦...啦..啦...啦...啦..啦...
什麼歌,What A Song電影 捉妖記2 主題曲天、林依霖你是否問過自己 擁有什麼為了要擁有那些 付出什麼追逐的人生換來 那些什麼最後能帶走什麼？從何時我們都已 擁有很多已不像當時你我 一無所有無聊的話題配著 藍藍天空我們都能飛 只要風我們曾夏啦啦啦的唱過那一首噗通通通的心動多年後我們是否依然是那一個你 那一個我？當歲月輕飄飄飄的溜走我們都哎呀呀呀白了頭有什麼留在你我的心頭那是什麼？每一首歌曲都在 尋找耳朵每一顆寂寞的心 還是寂寞 在   每一次你都不懂 因為什麼讓每次呼吸 都痛痛過的自己好像 失去什麼癒合後卻又好像 學到什麼多年後或許一切 不算什麼才知最重要 是什麼我們曾夏啦啦啦的唱過那一首噗通通通的心動多年後我們是否依然是那一個你 那一個我？當歲月輕飄飄飄的溜走我們都哎呀呀呀白了頭有什麼留在你我的心頭那是什麼？才知道最重要的會是什麼直到最後我擁有你 你擁有我我carry你 你carry我[ti:什麼歌 ( 電影 捉妖記2 主題曲 ) ][ar:][al:什麼歌][offset:0]
