﻿name,lyric
Lamando,Lamando Lamando 去追逐Lamando 請歡呼Wu - Wu Wu - Wu來自晝夜交界的第一天光線 照亮了地平線世界 躺在你的腳邊驕傲的 誕生了放縱自己踏出的第一步速度 帶來高溫熱度海 空 陸地都被征服完勝戰 擋不住Lamando 請歡呼Wu - Wu Wu - Wu學會擁抱未知的第一秒無限 是你最大極限眼前 再遼闊的世界都很好 都去闖  在  寫下未來腳本的第一頁對話 像對自己喊話故事 為過去下總結可以的 沒在怕披上榮耀 披上魅力的戰袍披上驕傲 魅力戰袍Lamando 是贏的速度Wu - Wu Wu - WuLamando (披上榮耀 披上驕傲 披上魅力的戰袍)請歡呼 (披上榮耀 披上驕傲 披上魅力的戰袍)Wu - Wu (披上榮耀 披上驕傲 披上魅力的戰袍)Wu - Wu (披上榮耀 披上驕傲 披上魅力的戰袍)披上榮耀 披上驕傲 披上魅力的戰袍披上榮耀 披上驕傲 披上魅力的戰袍
Lier and Accuser,Oh come fill these dried watersThat is my heart's one desireThe One who does not falterYou are my heart's one desireI'd be with You just a little longerThey don't even know meWith their tongues they crucify meWon't You vindicate meFend me from those false accusationsSo the lier and accuserShall be judged by the Father's FireSo as they feed on my honourThey will also feed His angerThose words are fuelling the FlameThey don't even know meWith their words they terrorise meWon't You vindicate meFend me from those false accusations  在  Save me from this wretched perversionDestroying those disguisesUshering the misguidedMay Your Light shine throughMay Your Light shineShine shine shineDestroying those disguisesUshering the misguidedMay Your light shine throughMay Your light shineShine shine shineOh come fill these dried watersThat is my heart's one desireThe One who does not falterYou are my heart's one desireTo be with You just a little longer[ti:Lier and Accuser][ar:][al:和自己對話][by:GetNoTogether]
Love U U,love you you 我像孤獨的漁夫說不出 愛的溫度很想給你幸福 你卻自我保護轉彎處 只剩下潮汐之外的荒蕪love you you 卻在海裡迷了路找不出 心的歸屬思念越嘗越苦 心跳亂了腳步怎麼我 讀不懂你唇語之間的無助就算用盡所有真心 卻到不了你的心底回憶難以靠近 你是我奢求的唯一讓我用盡所有力氣 只要你相信我最堅持的聲音  在  只剩一句 love you you stay with me能不能別這樣放棄能不能就放開自己海浪穿透我的傷心請聽一聽愛的聲音就算用盡所有真心 卻到不了你的心底回憶難以靠近 你是我奢求的唯一讓我用盡所有力氣 只要你相信我最堅持的聲音只剩一句 love you you stay with me
love you you,Love you you　我像孤獨的漁夫說不出　愛的溫度很想給你幸福　你卻自我保護轉彎處　只剩下潮汐之外的荒蕪love you you　卻在海裡迷了路找不出　心的歸屬思念越嘗越苦　心跳亂了腳步怎麼我　讀不懂你唇語之間的無助  在  ＊就算用盡所有真心　卻到不了你的心底　回憶難以靠近　你是我奢求的唯一　讓我用盡所有力氣　只要你相信　我最堅持的聲音　只剩一句　love you you stay with me能不能別這樣放棄　能不能就放開自己海浪穿透我的傷心　請聽一聽愛的聲音[ti:Love U U][ar:][al:][by:253057646]
LOVE(獨唱版),L.O.V.E da da da la la da la daL.O.V.E da da da la la da la daL.O.V.E da da da la la da la daL.O.V.E da da da la la da la da想要開始討好你　到底從哪一天開始地突然想買巧克力　配上鮮花是否俗氣先在線上談個心　旁敲側擊的要去了解你的星座血型一言一行的含意＊L.O.V.E　想你想到我睡不著L.O.V.E　見面時候說什麼好L.O.V.E　開始煩惱衣服太老L.O.V.E　不要變成你的困擾oh～愛有什麼預兆　老師並沒有教想要每天見到你　到底是從哪一天才開始地記得當時好天氣　沒來由的感到多甜蜜溫柔是我的本性　吸引我是妳的天性給你關心呵護　不會只是一滴滴  在  Repeat ＊RAP:看看 妳的前後左右 有幾個像我一樣有能耐落落 大方把情意表白碰壁 碰一次壁 再次 再接再厲讓一讓 情敵在嚷 壞呀壞 愛讓人怪快不快 有個大概 等妳來依賴馬拉松 跑愛的 馬拉松整點鐘 報愛的 鬧鐘哦　女孩請你想想我的告白哦　等你點頭我就快活哦　BABY讓我成為你的未來oh yeah everybody let's goRepeat ＊,＊L.O.V.E　想你想到我睡不著L.O.V.E　見面時候說什麼好L.O.V.E da da da la da la daL.O.V.E da da da la da la da
Now That She's Gone,Girl you know I miss you so(女孩,你知道我很想你)I didn't know you had to go(我不知道你不得不走)You've had enough of our distance baby(寶貝,我們之間的距離已十分遙遠)Before I had the chance to say(在我有機會表白之前)I'm staying with you(我和你一起度過 )For the rest of my life(我剩餘的生命)Don't keep telling me these words(別繼續告訴我這些話)You don't know how much it hurts(你不知道它是多麼的使人痛心)And I'll promise you eternity(我會承諾永遠)If you promise me your stay(如果你答應留下)But now it's too late(但是現在已經太晚了)I'm no longer the man that I was(我不再是以前的我)I will go on without her(沒有她我依然會繼續下去)Like a fool who's too sure(像一個自以為是的傻瓜)  在  I'm like a bird who's lost her wing(像一隻失去翅膀的鳥兒)A fire without its flame(一把火沒有它的火焰)I don't know how to be strong(當我的愛還在繼續時)When my love has to move on(我不知該如何堅強)I am a song without a soul(我是一首沒有靈魂的歌)Now that she's gone(此刻,她已離開)What's left of us is this song(留給我們的都在這首歌中)This is our song without a soul(這是我們沒有靈魂的旋律)Now that you're gone(此刻,你已離開)What's left of us in this song(留給我們的只有這首歌)
One Shot,Just one shotIs all you got to make or break into your fameJust one shotThey will lift you up and take you down the sameOnly got one shotWill you give it all you've gotLet it take you to the topOr will you bleed it out in vain?Only got one shotTell your heart to never stopLock your eyes only on the spotIf there is no pain there will be no gainO Father please, I ask for Your mercyThey judge me way before they even know meO Father please, do you hear me screamingThese lights won't stop chasing after meI will not fall I will not crawl, I will keep on standing tall'Til I'm strong enough to break this wallOh~ I won't drown don't tie me downWon't you just set me freeIt takes one shot to strip it away from meAnd O my Lord, I can't believe what I sawYou got one shotJust to make or break your fameJust one shotThey will lift you up, take you down the sameOnly got one shotWill you give it all you've gotLet it take you to the top  在  Or will you bleed it out in vain?Only got one shotTell your heart to never stopLock your eyes only on the spotIf there is no pain there will be no gainOur father, who art in heavenHallowed be thy nameIn thy name I pray to you, oh forever it remainsI know you haven't left me but I'm feeling so aloneWhen the darkness comes I shall never have to wait on my ownI feel so lost, my mind is going out of controlVengeance is mine, I will repay, says The LordI'm persecuted but not forsaken, struck down to the floorBut not destroyed cause Its not like this hasn't happened beforeI see these lights and you've warned me to be on the alertMy heart is tired from soaking it up like rain in the dirtOh~ just one shotOh~ yeah~Yeah~ one shotThey will lift you up, take you down the sameOnly got one shotWill you give it all you've gotLet it take you to the topOr will you bleed it out in vain?Only got one shotTell your heart to never stopLock your eyes only on the spotIf there is no pain there will be no gain
Show The World,Go Go Go 機會就近在眼前越過那些狂野攔截Go Go Go 歡呼將殲滅疲倦瞬間移動如同閃電Goal Let's Go! 情勢多惡劣危險兄弟就是最強防線 Wo~~Goal Let's Go! 對平凡極度厭倦跳入一個傳奇裡面  在  昔日的追風少年 不乾的熱血脫下白襯衫 心才被看見熱愛不止于球場 在生活蔓延越激烈越熱切 敢上就敢對決Go Go GoShow the world 我的火光 我的信仰Show the world 持續補強 急速成長Show the world 我的渴望 我的戰場Show the world 誰在雲上 誰會稱王
SixOlogy,口白：WellIt's really been awhile,After all this drama in the world,It's back to my little cove,And I thank the Lord still,It's so good to be me...Sixology...
STAY WITH YOU,長長的黑夜它到底還黯然多久閃爍日光燈原來它就是種煙火感覺到春風夏雨隱藏在雙眼就這樣迎接這陣雨說好了暫緩再繼續I'll stay with you等待著日出不想說多累 多辛苦總有人會知足Stay with you明天更清楚直到有一天再惜福害怕不再束縛卸下無助的第一步長長的黑夜它到底還黯然多久閃爍日光燈原來它就是種煙火感覺到的春風夏雨隱藏在雙眼就這樣迎接這陣雨最冷的天也會離去  在  I'll stay with you等待著日出不想說多累 多辛苦總有人會知足Stay with you明天更清楚直到有一天再惜福害怕不再束縛卸下無助的第一步Stay with you等待著日出不想說多累 多辛苦總有人會知足Stay with you明天更清楚直到有一天再惜福害怕不再束縛阻礙就算更迭卸下無助的第一步 
STILL MOVING UNDER GUNFIRE,Rap：MC VADERStill moving under gunfireWhere the weak liesWhen no one's besideI will fight, till the end timesTill my knees cryI'll get up, get up (yeah)Still moving under gunfireIn the night skyWhere enemies hideI will fight, till I dieTill the Morning LightAnd Sunlight will shine on me (yeah)Holy, Holy …That Sunlight will shine on youJust you, and meSunlight that comes from You …  在  Rap:Attention, attentionRules of engagementDon't make your intentions knownNo Mercy shownTo each his own.(xtra xtra bold)Fashion or electionIt's all about XpressionHow you make your standHow you play your planThat makes you the man.(xtra xtra loud)[ti:STILL MOVING UNDER GUNFIRE][ar:][al:JJ_100天][by:李澤昊]
Too Bad,雨傘弄丟在下雨天還沒回應手機也沒電久別重逢卻趕時間事與願違天天不斷上演無能為力的瞬間騙自己愛能克服一切It's too bad bad bad有心人怎麼都看不對眼等待緣分等感覺等過多少年是誰一直在身邊It's too bad bad bad兩顆心無法一起到終點我越一廂情願你卻越走越遠騙自己愛能克服一切雨傘弄丟在下雨天還沒回應手機也沒電久別重逢卻趕時間事與願違天天不斷上演無能為力的瞬間騙自己愛能克服一切It's too bad bad bad有心人怎麼都看不對眼等待緣分等感覺  在  等過多少年是誰一直在身邊It's too bad bad bad兩顆心無法一起到終點我越一廂情願你卻越走越遠騙自己愛能克服一切一錯再錯越挫越勇的境界何時才能停歇一次一次沒有好好的告別心片片撕裂It's too bad bad bad有心人怎麼都看不對眼等待緣分等感覺等過多少年是誰一直在身邊It's too bad bad bad兩顆心無法一起到終點我越一廂情願你卻越走越遠騙自己愛能克服一切騙自己騙成 自導自演[ti:Too Bad][ar:][al:和自己對話]
Until the Day,In the middle of the nightWhen our hopes and fears collideIn the midst of all goodbyesWhere all human beings lie, against another lieWhisper broken promises, there we hideTry to make it seem alrightWhat goes around againWe'd be running from the painFinding shelter in the rainLovers straying, seasons changing, strangers to loversWhat comes around againYou'd fall asleep in my embraceSteal a kiss on your little faceWould have always been in that wayBut heyYou're never coming back, never coming backI'll be waiting anyway, I'll be waiting anywayUntil the dayIn the middle of the nightLonely souls travel in timeFamiliar hearts start to entwineWe imagine what we'll find in another lifeWhisper broken promises, there we hideTry to make it seem alright  在  What goes around againWe'd be running from the painFinding shelter in the rainLover straying, seasons changing strangers to loversWhat comes around againYou'd fall asleep in my embraceSteal a kiss in your little faceWould have always been in that wayBut heyYou're never coming back, never coming backI'll be waiting anyway, I'll be waiting anywayTill it comes around againWe'd be playing in the sandHolding hands, just one last chanceNo more hurts, no more goodbyesWe'd danceWe're never going backNever turning backWon't you wait with me anyway, won't you wait with me anywayUntil the dayWhat comes around goes aroundWhat goes around comes aroundUntil the day
We Together,Everybody now ...時間一到 看著錶神秘定格的微笑鏡頭瞄一瞄 大家都成主角轟隆的引擎 像重音般美妙油門 腳輕輕的就確定了目標Yeah…秒針正在倒轉Yeah…甩尾般魔幻Yeah…空間用力彈Yeah…扭力極速鎖定喔 迎面而來Everybody唱著歌 together上上下下快樂著 together每顆心都定位在一起了愛的信念power we togetherEverybody跳著舞 together上上下下快樂著 together每顆心都定位在一起了夢的信念power we together地點沒變 瞇著眼 假裝自己在睡覺直覺告訴我 一下子就會到Party的味道 也提前在預告油門 正悄悄的 準備著要呼嘯Yeah…秒針正在倒轉Yeah…甩尾般魔幻Yeah…空間用力彈  在  喔 迎面而來Everybody唱著歌 together上上下下快樂著 together每顆心都定位在一起了愛的信念power we togetherEverybody跳著舞 together上上下下快樂著 together每顆心都定位在一起了夢的信念power we together我透過後視鏡 酷酷的看風景魔力般的心情 都藏在墨鏡裡方向盤會飛行 她對我眨眼睛這說不出來的神奇 發動了心中的引擎這世界不等你 Everybody 擠一擠光速般的馬力 心的衛星導航器帶自己去旅行 地圖它沒有意義就照著自己的邏輯 夢多遠世界多美麗Everybody跳著舞 together上上下下快樂著 together每顆心都定位在一起了夢的信念power we togetherEverybody跳著舞 together上上下下快樂著 together每顆心都定位在一起了夢的信念power we together
Wonderland,慢慢地睜開眼 熟悉的即視感完全不需要語言 好像哪裡見過面是光陰的背叛 生鏽了熟悉感誰的臉孔不黯淡 沒有情緒的乾旱Here I am 不怕一身鋼鐵無法被溶解 我流汗意識更堅決Here I am 就算荒涼無邊找不到界線 迷路無所謂這就是我的Wonderland過去現在未來都將不再有侷限自由自在的Wonderland只要你和我同步 奇蹟就會在身邊我的感情 我的人性 穿越世紀你的記憶 你的秘密 依然清晰我的回憶 我的思緒 不停累積和你在一起 就安心慢慢地閉上眼 陌生的距離感說不出口的語言 好像從未見過面時光裡的背叛 消逝的安全感誰的臉孔不黯淡 沒有情緒的乾旱Here I am 不怕一身鋼鐵無法被溶解 我流汗意識更堅決Here I am 就算荒涼無邊找不到界線 編號89757這就是我的Wonderland過去現在未來都將不再有侷限自由自在的Wonderland只要你和我同步奇蹟就會在身邊我的感情 我的人性 穿越世紀你的記憶 你的秘密 依然清晰我的回憶 我的思緒 不停累積  在  你是專屬唯一這就是我的Wonderland過去現在未來都將不再有侷限自由自在的Wonderland只要你和我同步奇蹟就會在身邊我的感情 我的人性 穿越世紀你的記憶 你的秘密 依然清晰我的回憶 我的思緒 不停累積和你在一起 你是專屬唯一(RAP)~那些年代已過去 是誰還不相信 傻傻站在原地這不是場遊戲 看不到形體沒有人在乎輸贏我們之間的關係 早已不在是秘密誰也無法模擬轉來看我的反面 讀我的頸線我是編號89757~這就是我的Wonderland過去現在未來都將不再有侷限自由自在的Wonderland只要你和我同步奇蹟就會在身邊我的感情 我的人性 穿越世紀你的記憶 你的祕密 依然清晰我的回憶 我的思緒 不停累積和你在一起 你是專屬唯一  
X,Rap：MC VADER說感覺 不只嗅覺 還有味覺 有 觸覺 聽覺到體會 都是誤會 偶而約會 卻 沒有 感覺說圓缺 從不妥協 玩玩另類 就 為愛 流淚夾腳鞋 走遍世界 甚麼是品味 是態度決定一切虛偽 撕裂 你怎麼解釋這些冷卻 熱烈 命運自有出路用自己的空間 噯 只有愛證明我存在 再等待換個世代 手腳撐開 一切重來重來你可以揮灑著愛 隨心所在要所謂的high我就是壞 無處不玩 計劃了未來  在  還瀟灑著自在Rap:Attention, attentionRules of engagementDon't make your intentions knownNo Mercy shownTo each his own.(xtra xtra bold)Fashion or electionIt's all about XpressionHow you make your standHow you play your planThat makes you the man.(xtra xtra loud)
一個又一個, 說到為了愛執著,其實我覺得,執著,並不一定會覺得讓你的愛情,就是很美滿,但是愛情都要去執著,去爭取,去珍惜,是沒錯的.可是我覺得在我朋友當中,當我包括自己的整個...額...整個生活過程當中.其實我也有發現,說:'其實感情這個東西很難去..嗯..難捏?'有時候很難去..額..就是與..其說:'誒,一定會'怎樣',(然後)已經不會怎麼樣了.'可是我可能會聽很多朋友說,額..他的感情可能一次又一次的去期待,去等待,然後一次又一次的..也許傷心,害得很多我身邊的朋友就說,我自己看到說:'哦,對愛情可能會覺得..額..也許失望,或者會覺得對愛情開始害怕,'到底怎麼樣才是對的?'或者'怎麼樣才是對的人?''怎麼樣的愛情才是真的?''但是我覺得今天..因為我也在這裡,我也沒辦法跟你們分析說:'哦,應該要怎麼樣愛',因為我也沒有那麼多經驗.嘿~~只是說鼓勵大家,用這樣子的一個音樂會,近距離跟大家分享我的歌,鼓勵大家不要害怕(對愛情),所以..誒~ (掌聲響起) 誒~!這時候要掌聲一下,真的,因為呢,我總是告訴自己,'沒比..沒比下一次,或許這一次,你遇到的人,也許就是對的人.'對.(掌聲響起) 加油!呵呵~~~~~~這首歌叫做<一個又一個>.一個又一個 排隊等緣分前面丟後面撿撿到的變戀人 丟的變路人  在  一個就一個 手空著就開車寂寞就先晾著 堅強是種天份直到更好的下一個走了一個 忘了一個才懂眼淚對自己最殘忍笑著 不會不捨得來了一個 愛了一個只要確定感覺是真的怕了 就當作是上多一課這一個或許是對的人一個就一個 手空著就開車寂寞就先晾著 堅強是種天份直到更好的下一個走了一個 忘了一個才懂眼淚對自己最殘忍笑著 不會不捨得來了一個 愛了一個只要確定感覺是真的怕了 就當作是上多一課這一個或許是對的人嗚~~~~走了一個 忘了一個才懂眼淚對自己最殘忍笑著 不會不捨得來了一個 愛了一個確定感覺是真的就當作是上多一課這一個或許是對 的人對 的人
一千年以前,心 跳亂了節奏夢也不自由愛 是個絕對承諾 不說撐到一千年以後放任無奈 淹沒塵埃我在廢墟之中守著你走來 喔我的淚光 承載不了 喔所有一切你要的愛因為在 一千年以後世界早已沒有我無法深情挽著你的手淺吻著你額頭別等到 一千年以後所有人都遺忘了我那時紅色黃昏的沙漠能有誰 解開纏繞千年的寂寞哦 哦 哦 耶哦 哦放任無奈 淹沒塵埃我在廢墟之中守著你走來 喔我的淚光 承載不了 喔所有一切你需要的愛因為在 一千年以後  在  世界早已沒有我無法深情挽著你的手淺吻著你額頭別等到 一千年以後所有人都遺忘了我那時紅色黃昏的沙漠能有誰 解開纏繞千年的寂寞(不要哭了)哦 啊 哦 哦 哦 哦無法深情挽著你的手淺吻著你額頭別等到 一千年以後所有人都遺忘了我那時紅色黃昏的沙漠能有誰 解開纏繞千年的 寂寞喔纏繞千年的寂寞(歌手獨白)我脆弱 卻不退縮(我愛你)拜拜 (不敢言說) 哦(我脆弱 卻不退縮)  
一千年以後,心 跳亂了節奏 夢也不自由愛 是個絕對承諾 不說 撐到一千年以後放任無奈 淹沒塵埃我在廢墟之中守著妳走來 喔我的淚光 承載不了 喔所有一切妳要的愛因為在 一千年以後 世界早已沒有我無法深情挽著你的手 淺吻著你額頭別等到 一千年以後 所有人都遺忘了我那時紅色黃昏的沙漠 能有誰解開纏繞千年的寂寞放任無奈 淹沒塵埃我在廢墟之中守著妳走來 喔  在  我的淚光 承載不了 喔所有一切你需要的愛因為在 一千年以後 世界早已沒有我無法深情挽著你的手 淺吻著你額頭別等到 一千年以後 所有人都遺忘了我那時紅色黃昏的沙漠 能有誰解開纏繞千年的寂寞OH~~~~~YA~~~~無法深情挽著你的手 淺吻著你額頭別等到 一千年以後 所有人都遺忘了我那時紅色黃昏的沙漠 能有誰解開纏繞千年的寂寞 OH~~~纏繞千年的寂寞
一千年後記得我,我曾經來過 如果你能記得那年我還如此 靦腆而羞澀這些年以後 我內心卻依舊只是不能確定 你怎樣看我是否會有不能跨越的距離是否也有滄海桑田的惋惜我該怎麼做 什麼都不說的我讓愛不熟 讓心不透 讓一切再來過讓我把所有美好 在你面前不做保留讓夢不走 讓淚不流 讓你快快樂樂真心喜愛不會一無所獲 讓你一千年後記得我  在  不懂愛恨情仇煎熬的我們不懂悲歡離合難受的我們只要能見面 只要再見面 足夠讓愛不熟 讓心不透 讓一切再來過讓我把所有美好 在你面前不做保留讓夢不走 讓淚不流 讓你快快樂樂讓真心喜愛不會一無所獲讓你一千年後記得我讓愛不熟 讓心不透 讓一切再來過讓我把所有美好 在你面前不做保留讓夢不走 讓淚不流 讓你快快樂樂真心喜愛不會一無所獲 從你愛笑的眼睛裡看我Hey Baby 사랑해요 一千年以後記得我
一生的愛(Eternal Love),真的可以結束嗎已經不需要回答滿天的雪在下將我的心蒸發如果愛可以放下為何那麼多掙扎那冷風烙心如刀割彷彿愛的懲罰我終於明白對你的愛絕不可能更改我的心像片雪花為你存在冰封成依賴當全世界都把你忘懷我絕不離開風雪淹埋不了期待我只想要給你我一生的愛愛如果放下不要那麼多掙扎冷風也讓我更堅決  在  面對愛的懲罰我終於明白對你的愛絕不可能更改我的心像片雪花為你存在冰封成依賴當全世界都把你忘懷我絕不離開風雪淹埋不了期待我只想要給你我一生的愛我終於明白對你的愛絕不可能更改我的心像片雪花為你存在冰封成依賴當全世界都把你忘懷我絕不離開風雪淹埋不了期待我只想要給你我一生的愛風雪淹埋不了期待我只想要給你我一生的愛
一眼萬年(Forever),淚 有點鹹 有點甜 你的胸膛吻著我的側臉回頭看踏過的雪 慢慢融化成草原而我就像你 沒有一秒 曾後悔愛 那麼綿 那麼黏 管命運 設定要誰離別海岸線越讓人流連 總是美的越蜿蜒我們太倔強 連天都不忍 再反對深情一眼摯愛萬年 幾度輪迴戀戀不滅把歲月鋪成紅毯 見證我們的極限心疼一句珍藏萬年 誓言就該比永遠更遠要不是滄海桑田 真愛怎麼會浮現淚 有點鹹 有點甜 你的胸膛吻著我的側臉回頭看踏過的雪 慢慢融化成草原而我就像你 沒有一秒 曾後悔  在  愛 那麼綿 那麼黏 管命運 設定要誰離別海岸線越讓人流連 總是美得越蜿蜒我們太倔強 連天都不忍 再反對深情一眼摯愛萬年 幾度輪迴戀戀不滅把歲月鋪成紅毯 見證我們的極限心疼一句珍藏萬年 誓言就該比永遠更遠要不是滄海桑田 真愛怎麼會浮現深情一眼摯愛萬年 幾度輪迴戀戀不滅把歲月鋪成紅毯 見證我們的極限心疼一句珍藏萬年 誓言就該比永遠更遠要不是滄海桑田 真愛怎麼會浮現待渡過斜風冷雨 春暖在眼前
